lgdCode,name,nameTa,typeCode
252437,Ananthapuram,அனந்தபுரம்,7
253089,Anjugrammam,அஞ்சுகிராமம்,7
252782,Annamalai Nagar,அண்ணாமலைநகர்,7
252844,Annavasal,அன்னவாசல்,7
252614,Annur,அன்னூர்,7
252535,Anthiyur,அந்தியூர்,7
252537,Appakudal,ஆப்பக்கூடல்,7
252575,Arachalur,அரச்சலூர்,7
252445,Arakandanallur,அரகண்டநல்லூர்,7
252367,Arakkonam,Arakkonam,5
253076,Aralvaimozhi,ஆரல்வாய்மொழி,7
252263,Arani,ஆரணி,7
252422,Arani,Arani,5
252854,Aranthangi,Aranthangi,5
252471,Arasiramani,அரசிராமணி,7
252719,Aravakurichi,அரவக்குறிச்சி,7
252373,Arcot,Arcot,5
252850,Arimalam,அரிமளம்,7
252767,Ariyalur,Ariyalur,5
252529,Ariyappampalayam,அரியப்பம்பாளையம்,7
253033,Arumanai,அருமனை,7
252760,Arumbavur,அரும்பாவூர்,7
252981,Arumuganeri,ஆறுமுகனேரி,7
252947,Aruppukkottai,Aruppukkottai,5
252536,Athani,அத்தானி,7
252509,Athanur,அத்தனூர்,7
252979,Athur,ஆத்தூர்,7
253055,Athur,ஆத்தூர்,7
252483,Attayampatti,ஆட்டையாம்பட்டி,7
252491,Attur,Attur,5
252922,Aundipatti,ஆண்டிப்பட்டி,7
252276,Avadi,Avadi,4
252572,Avalpoondurai,அவல்பூந்துரை,7
252870,A.Vellalapatti,அ.வெள்ளாளபட்டி,7
252615,Avinashi,அவிநாசி,5
252691,Ayakudi,ஆயக்குடி,7
252996,Aygudi,ஆய்க்குடி,7
252486,Ayothiapattinam,அயோத்தியாபட்டணம்,7
252699,Ayyalur,அய்யலூர்,7
252711,Ayyampalayam,அய்யம்பாளையம்,7
252340,Ayyampettai,அய்யம்பேட்டை,7
260288,Azhagappapuram,அழகப்பாபுரம்,7
253073,Azhagiapandipuram,அழகியபாண்டியபுரம்,7
252740,Balakrishnampatti,பாலகிருட்டிணம்பட்டி,7
252694,Balasamudram,பாலசமுத்திரம்,7
252401,Bargur,பர்கூர்,7
252718,Batlagundu,வத்தலகுண்டு,7
252487,Belur,பேளூர்,7
252539,Bhavani,Bhavani,5
252530,Bhavanisagar,பவானிசாகர்,7
252779,Bhuvanagiri,புவனகிரி,7
252609,Bikkatty,பிக்கட்டி,7
252415,B.Mallapuram,பொ. மல்லாபுரம்,7
252896,B. Meenakshipuram,போ. மீனாட்சிபுரம்,7
252897,Bodinayakanur,Bodinayakanur,5
253074,Boothapandi,பூதப்பாண்டி,7
252895,Boothipuram,பூதிப்புரம்,7
252333,Chengalpattu,Chengalpattu,5
252432,Chengam,செங்கம்,5
252584,Chennasamudram,சென்னசமுத்திரம்,7
252562,Chennimalai,சென்னிமலை,7
253019,Cheranmahadevi,சேரன்மகாதேவி,7
252430,Chetpet,சேத்துப்பட்டு,7
252926,Chettiarpatti,செட்டியார்பட்டி,7
252617,Chettipalayam,செட்டிபாளையம்,7
252781,Chidambaram,Chidambaram,5
252593,Chinnakkampalayam,சின்னக்காம்பாளையம்,7
252709,Chinnalapatti,சின்னாளப்பட்டி,7
252913,Chinnamanur,Chinnamanur,5
252452,Chinnasalem,சின்னசேலம்,7
